"participant_id","study_task","study_fsm","meta_timestamp","q_strategy","q_estimate","txt_advice","subject_age","subject_sex","subject_ethnicity","subject_timeTaken"
44,"explanation","easy","2023-01-27T16:31:56.305Z","intuition",10,"Memorize what triggers the certain patterns of emojis. ",24,"Male","White",573
45,"explanation","easy","2023-01-27T16:31:36.697Z","familiarity",13,"write down the pattern of the chats response and frequency to the different emojis during the practice phase",22,"Female","White",541
46,"explanation","easy","2023-01-27T16:31:53.679Z","guess",10,"I have no idea, I couldn&apos;t figure it out!!",23,"Female","White",552
47,"explanation","easy","2023-01-27T16:32:20.436Z","recall",10,"learn the mixes and order of inputs to guess outputs.
",29,"Male","White",741
48,"explanation","easy","2023-01-27T16:32:38.966Z","rule",16,"I would say that heart emojis cause laughter, sunglasses emojis, and thumbs up cause astonishment.  ",35,"Female","White",633
49,"explanation","easy","2023-01-27T16:34:17.998Z","familiarity",10,"Blue heart changes the emoji.",18,"Male","Black",387
50,"explanation","easy","2023-01-27T16:45:06.909Z","recall",16,"Just do you best and probably best just to use your intuition. ",39,"Male","White",1069
51,"explanation","easy","2023-01-27T17:16:06.968Z","recall",13,"Try to catch what the patterns are. And memorize the sequences. ",28,"Female","Other",649
52,"explanation","hard","2023-01-27T17:50:41.287Z","rule",10,"Watch how the emoji changes when you make a different emoji change. There might be a pattern to it.",23,"Male","White",456
53,"explanation","hard","2023-01-27T18:05:44.095Z","rule",13,"Make patterns with the learning phase and use them in the test phase, and note that the pattern can also depend on the previous chatbot input",19,"Male","Asian",568
54,"explanation","hard","2023-01-27T18:07:21.390Z","intuition",10,"I would advise using different patterns in the testing phase",21,"Female","White",418
55,"explanation","hard","2023-01-27T18:09:29.552Z","intuition",10,"I would advise them to have fun and go with their gut.",28,"Female","White",353
56,"explanation","hard","2023-01-27T18:12:38.316Z","intuition",13,"Repeated actions are good to test the bot.",34,"Male","Mixed",559
57,"explanation","hard","2023-01-27T18:13:18.121Z","intuition",10,"monitor the changes between each click, multiples and how often each response is recorded from each emoji response you supply",32,"Male","White",439
58,"explanation","hard","2023-01-27T18:15:23.021Z","intuition",NA,"Don&apos;t over think it and just go with what feels right. I would also probably advice spending more time trying to find a pattern.",24,"Female","Other",568
59,"explanation","hard","2023-01-27T18:15:43.688Z","familiarity",13,"Really test out the differences in reactions in the TEST phase. this will help you get multiple answers and come up with a good solution. ",32,"Male","Mixed",420
60,"explanation","hard","2023-01-27T18:17:55.576Z","familiarity",10,"Take note of more than just patterns from one emoji in a row.",31,"Female","White",468
61,"explanation","hard","2023-01-27T18:23:51.013Z","rule",13,"I would tell them to memorize the patterns of the emoji interactions. It seems chatbot will always give you a certain emote when you use either heart or thumbs up. ",24,"Female","White",665
62,"explanation","hard","2023-01-27T18:26:45.066Z","intuition",13,"Try and use the same emoji for the first few responses to see if that changes the response. And see if any certain combination changes the response.",41,"Female","White",597
63,"control","hard","2023-01-27T18:56:49.826Z","familiarity",10,"I would recommend my friend to really play and try to find the pattern with the emoji&apos;s. To really try out all options and see what he/she gets. ",23,"Female","Other",1002
64,"control","hard","2023-01-27T19:02:57.872Z","recall",19,"Notice the patterns and try to memorize which pattern goes with what emoji",26,"Female","White",469
65,"control","hard","2023-01-27T19:16:09.634Z","none",10,"Track the emoji pattern",42,"Female","White",460
66,"control","hard","2023-01-27T19:19:26.253Z","rule",10,"There is a pattern so follow it.",23,"Female","Black",814
67,"control","hard","2023-01-27T19:26:34.881Z","intuition",10,"Try to memorize all the sequences in all the different patterns.",NA,"Male","White",616
68,"control","hard","2023-01-27T19:28:54.792Z","rule",13,"Try lots of random combinations of emojis in strings and pay attention to how the chat responds to different patterns. ",27,"Male","White",405
69,"control","hard","2023-01-27T19:29:52.596Z","rule",10,"Try to see a pattern that arises with the chose of emoji&apos;s you use.",18,"Male","Asian",470
70,"control","hard","2023-01-27T19:34:24.029Z","rule",NA,"It seems like repeating the same emoji towards the chatbot results in a better of chance of the chatbot sending a certain emoji over and over in response.",27,"Male","White",527
71,"control","hard","2023-01-27T19:39:18.256Z","guess",NA,"choose at random - if there&apos;s any kind of pattern, it&apos;s impossible to discern.",30,"Male","White",506
72,"prediction","hard","2023-01-27T20:01:02.322Z","recall",13,"If first heart responds with shock face, most likely shock faces will continue as long as you send hearts. Sunglasses faces come in pairs or triples. ",28,"Female","White",433
73,"prediction","hard","2023-01-27T20:07:49.651Z","recall",10,"I would advise to look at the patterns during the test phase to see which emoji was being used in response to certain emojis.",21,"Female","Asian",377
74,"prediction","hard","2023-01-27T20:19:25.996Z","intuition",10,"I would tell him that I don&apos;t think the chat bot is random but I didn&apos;t find a pattern.",33,"Male","White",361
75,"prediction","hard","2023-01-27T20:22:12.221Z","intuition",10,"Pick up on the pattern and have a reason behind picking the hearts and thumbs up at the start. ",25,"Male","White",502
76,"prediction","hard","2023-01-27T20:29:23.497Z","guess",NA,"I could not find a strategy that I thought worked. I thought it was pretty random. I couldn&apos;t figure out any patterns. ",35,"Female","White",524
77,"prediction","hard","2023-01-27T20:33:21.020Z","familiarity",10,"To just relax, and follow your gut, because I couldn&apos;t find any patterns.",42,"Female","White",551
78,"prediction","hard","2023-01-27T20:34:16.404Z","familiarity",10,"study the pattern ",29,"Male","Black",437
79,"prediction","hard","2023-01-27T20:41:39.993Z","recall",10,"If you switch your emoji response - i.e. change from a thumbs up to a heart - the AI will ALWAYS change the smiley face it sends back. However, if you use the same emoji twice - i.e. a blue heart twice - the emoji sent back is USUALLY the same (but not always).",33,"Male","White",520
80,"control","easy","2023-01-27T21:14:13.432Z","recall",10,"try to have a strategy you use in the test phase to make the second phase much easier",45,"Male","Black",842
81,"control","easy","2023-01-27T21:15:11.308Z","recall",10,"Remember the responses and learn the pattern.",22,"Female","Black",532
82,"control","easy","2023-01-27T21:16:04.365Z","familiarity",10,"Don&apos;t think to hard about it and just go with your gut feeling if you&apos;re unable to decide what you think may be the correct answer.",47,"Female","Other",558
83,"control","easy","2023-01-27T21:43:56.099Z","rule",16,"just think back on how the bot responded to the emojis you used
",25,"Female","White",426
84,"control","easy","2023-01-27T21:46:58.967Z","familiarity",10,"I felt like I received more varied emoji&apos;s with the heart emjoi.",31,"Male","White",464
85,"control","easy","2023-01-27T21:50:12.544Z","recall",10,"Try to pay attention to the patterns the chat bot is answering with.",28,"Female","White",437
86,"control","easy","2023-01-27T21:52:41.733Z","intuition",13,"try and remember the sequence of responses from the AI after you do repetitive messaging
",26,"Male","White",363
87,"control","easy","2023-01-27T21:56:43.422Z","familiarity",10,"I would tell them to focus on the pattern and pay more attention to round one bot interaction.
",27,"Male","Black",915
88,"prediction","easy","2023-01-27T22:24:29.481Z","recall",13,"Memorize the chat answer for each of your inputs.  ",19,"Male","Black",815
89,"prediction","easy","2023-01-27T22:32:06.642Z","recall",13,"To try to figure out what the response was to each combination and to make sure you are figuring out the hidden emoji when you do the questions later before coming up with the correct answer. ",31,"Female","White",657
90,"prediction","easy","2023-01-27T22:37:15.816Z","familiarity",16,"Look for the patterns using the colors in the emojis rather than what the emojis are. ",20,"Female","White",398
91,"prediction","easy","2023-01-27T22:38:17.236Z","rule",10,"I&apos;m not sure there&apos;s a strategy for guessing emoj&apos;s.",23,"Male","White",268
92,"prediction","easy","2023-01-27T22:40:33.946Z","intuition",NA,"the thumb up emoji is usually the gasp face and the heart emoji response is usually not the same every time so pick a different one than previously responded with",23,"Female","White",716
93,"prediction","easy","2023-01-27T22:53:40.457Z","intuition",10,"Try to find a pattern in the first part. I thought I saw a couple but the more answers I put, the more I thought I was wrong.",23,"Male","Asian",381
94,"prediction","easy","2023-01-27T23:09:54.856Z","rule",16,"Pay attention to the patterns.",33,"Female","Other",630
95,"prediction","easy","2023-01-28T18:43:57.070Z","intuition",13,"I would advise to take note of any patterns or similarities between sets",18,"Male","Asian",738
96,"prediction","easy","2023-01-28T18:56:33.290Z","familiarity",10,"Look for any patters, but be willing to make some guesses. ",41,"Female","White",557
97,"prediction","hard","2023-01-28T19:52:35.479Z","intuition",NA,"If you see a pattern in the learn phase, repeat it several times to make sure it&apos;s actually a pattern. There were patterns i thought i figured out, that then changed and told me they weren&apos;t patterns, and this is possibly pure randomness.",31,"Male","White",691
